year,season,Total_Area,Background_Area,Agricultural_Land_Area,Grasses_and_Bushes_Area,Urban_Area_Area,Soil_Area,Water_Area,Trees_Area,green_space,non_green_space
2016,spring,3.0968294139424697e-10,0.12,16.89,52.94,10.05,11.38,0.54,8.08,77.91,21.97
2016,autumn,3.0968294139424697e-10,0.24,56.3,8.92,2.95,24.26,0.43,6.89,72.11,27.64
2016,winter,3.0968294139424697e-10,0.12,13.4,52.11,6.06,15.79,0.06,12.45,77.96000000000001,21.909999999999997
2017,summer,3.0968294139424697e-10,0.1,24.68,42.31,12.77,12.09,0.74,7.31,74.30000000000001,25.599999999999998
2017,autumn,3.0968294139424697e-10,0.16,55.65,9.32,1.66,27.47,0.61,5.13,70.1,29.74
2017,winter,3.0968294139424697e-10,0.27,15.55,39.49,5.17,35.04,0.44,4.04,59.080000000000005,40.65
2018,spring,3.0968294139424697e-10,0.16,17.92,46.15,15.08,14.53,0.41,5.75,69.82,30.02
2018,autumn,3.0968294139424697e-10,0.18,54.55,6.37,0.58,37.4,0.53,0.38,61.3,38.51
2018,winter,3.0968294139424697e-10,0.29,21.04,31.02,9.8,36.13,0.68,1.04,53.1,46.61000000000001
2019,spring,3.0968294139424697e-10,0.18,45.77,16.74,2.7,26.47,0.87,7.26,69.77000000000001,30.04
2019,summer,3.0968294139424697e-10,0.15,45.95,20.85,3.67,22.43,0.76,6.18,72.98000000000002,26.860000000000003
2019,autumn,3.0968294139424697e-10,0.11,64.58,4.73,1.59,25.89,0.53,2.56,71.87,28.01
2019,winter,3.0968294139424697e-10,0.15,29.98,29.92,6.74,30.27,0.64,2.3,62.2,37.65
2020,spring,3.0968294139424697e-10,0.14,56.97,5.45,1.59,27.54,0.59,7.72,70.14,29.72
2020,summer,3.0968294139424697e-10,0.15,60.0,5.58,2.29,22.12,0.65,9.21,74.78999999999999,25.06
2020,autumn,3.0968294139424697e-10,0.15,67.13,4.63,1.25,23.96,0.57,2.31,74.07,25.78
2020,winter,3.0968294139424697e-10,0.26,43.31,18.82,8.06,26.04,0.59,2.92,65.05,34.690000000000005
2021,spring,3.0968294139424697e-10,0.07,47.76,17.0,8.24,19.92,0.76,6.25,71.00999999999999,28.920000000000005
2021,summer,3.0968294139424697e-10,0.09,52.77,15.52,8.47,18.96,0.64,3.54,71.83000000000001,28.07
2021,autumn,3.0968294139424697e-10,0.13,61.77,2.63,3.49,30.04,0.46,1.48,65.88000000000001,33.99
2021,winter,3.0968294139424697e-10,0.17,35.41,22.02,7.46,31.74,0.57,2.63,60.059999999999995,39.769999999999996
2022,spring,3.0968294139424697e-10,0.22,45.28,14.31,2.64,35.38,0.52,1.66,61.25,38.540000000000006
2022,summer,3.0968294139424697e-10,0.18,53.87,4.87,2.13,36.24,1.1,1.62,60.35999999999999,39.470000000000006
2022,autumn,3.0968294139424697e-10,0.14,62.45,3.32,1.65,31.06,0.46,0.92,66.69,33.17
2022,winter,3.0968294139424697e-10,0.24,16.83,35.48,9.34,35.32,0.45,2.35,54.66,45.11
2023,spring,3.0968294139424697e-10,0.21,49.05,13.73,5.16,30.09,0.47,1.29,64.07000000000001,35.72
2023,summer,3.0968294139424697e-10,0.12,71.4,0.8,0.87,25.25,0.54,1.02,73.22,26.66
2023,autumn,3.0968294139424697e-10,0.11,67.63,2.8,3.21,23.19,0.39,2.66,73.08999999999999,26.790000000000003
2023,winter,3.0968294139424697e-10,0.26,48.04,13.86,4.83,27.27,0.43,5.32,67.22,32.53
2024,spring,3.0968294139424697e-10,0.17,59.92,6.31,3.35,28.44,0.5,1.31,67.54,32.290000000000006
2024,summer,3.0968294139424697e-10,0.14,66.95,3.03,0.91,27.01,0.44,1.52,71.5,28.360000000000003
2024,autumn,3.0968294139424697e-10,0.13,65.45,3.39,2.32,27.17,0.43,1.1,69.94,29.92
2024,winter,3.0968294139424697e-10,0.31,38.44,17.84,5.26,34.85,0.45,2.85,59.13,40.56
2016,average,3.0968294139424697e-10,0.16,28.863333333333333,37.99,6.353333333333333,17.143333333333334,0.3433333333333333,9.139999999999999,75.99333333333334,23.84
2017,average,3.0968294139424697e-10,0.17666666666666667,31.959999999999997,30.373333333333335,6.533333333333334,24.866666666666664,0.5966666666666667,5.493333333333333,67.82666666666667,31.996666666666666
2018,average,3.0968294139424697e-10,0.20999999999999996,31.169999999999998,27.846666666666664,8.486666666666666,29.353333333333335,0.54,2.39,61.406666666666666,38.38
2019,average,3.0968294139424697e-10,0.1475,46.57,18.060000000000002,3.675,26.264999999999997,0.7000000000000001,4.575,69.205,30.639999999999997
2020,average,3.0968294139424697e-10,0.17500000000000002,56.8525,8.620000000000001,3.2975000000000003,24.915,0.6,5.539999999999999,71.01249999999999,28.8125
2021,average,3.0968294139424697e-10,0.11500000000000002,49.4275,14.2925,6.915000000000001,25.165,0.6074999999999999,3.4749999999999996,67.195,32.6875
2022,average,3.0968294139424697e-10,0.195,44.6075,14.495,3.94,34.5,0.6325000000000001,1.6375000000000002,60.74,39.0725
2023,average,3.0968294139424697e-10,0.175,59.029999999999994,7.7975,3.5175,26.45,0.45749999999999996,2.5725000000000002,69.4,30.425
2024,average,3.0968294139424697e-10,0.1875,57.69,7.6425,2.96,29.3675,0.45499999999999996,1.695,67.02749999999999,32.7825
