year,season,Total_Area,Background_Area,Agricultural_Land_Area,Grasses_and_Bushes_Area,Urban_Area_Area,Soil_Area,Water_Area,Trees_Area,green_space,non_green_space
2016,autumn,4.461093487116104e-10,0.23,50.82,5.74,1.37,40.35,1.13,0.37,56.93,42.85
2017,autumn,4.461093487116104e-10,0.23,48.9,2.59,0.9,46.26,0.68,0.44,51.92999999999999,47.839999999999996
2017,winter,4.461093487116104e-10,0.2,10.23,31.89,15.0,41.57,1.01,0.1,42.220000000000006,57.58
2018,autumn,4.461093487116104e-10,0.27,40.25,11.01,3.35,42.22,1.11,1.79,53.05,46.68
2019,spring,4.461093487116104e-10,0.35,38.14,13.34,3.74,43.16,0.88,0.39,51.870000000000005,47.78
2019,summer,4.461093487116104e-10,0.24,35.59,16.85,4.49,40.93,0.85,1.05,53.49,46.27
2019,autumn,4.461093487116104e-10,0.21,53.67,9.23,0.9,33.23,1.7,1.07,63.970000000000006,35.83
2019,winter,4.461093487116104e-10,0.23,23.39,33.07,4.42,36.57,0.87,1.45,57.910000000000004,41.86
2020,spring,4.461093487116104e-10,0.22,50.95,7.34,1.99,36.71,0.79,2.0,60.290000000000006,39.49
2020,summer,4.461093487116104e-10,0.4,61.74,5.25,1.25,28.43,0.82,2.13,69.12,30.5
2020,autumn,4.461093487116104e-10,0.31,65.61,2.82,0.39,27.18,1.54,2.15,70.58,29.11
2020,winter,4.461093487116104e-10,0.25,46.67,15.5,3.0,32.84,0.94,0.81,62.980000000000004,36.78
2021,spring,4.461093487116104e-10,0.18,29.77,29.26,8.8,29.2,0.93,1.86,60.89,38.93
2021,summer,4.461093487116104e-10,0.32,42.34,15.68,5.83,32.73,0.74,2.37,60.39,39.3
2021,autumn,4.461093487116104e-10,0.31,59.76,2.84,0.42,35.08,0.78,0.81,63.41,36.28
2021,winter,4.461093487116104e-10,0.25,26.21,32.78,6.69,32.3,0.81,0.97,59.96,39.8
2022,spring,4.461093487116104e-10,0.25,29.03,17.37,4.25,47.8,0.73,0.58,46.980000000000004,52.779999999999994
2022,summer,4.461093487116104e-10,0.35,43.65,8.53,2.29,43.66,1.08,0.45,52.63,47.029999999999994
2022,autumn,4.461093487116104e-10,0.4,60.97,6.72,0.56,30.01,0.88,0.47,68.16,31.45
2022,winter,4.461093487116104e-10,0.24,6.5,44.02,16.28,32.01,0.66,0.29,50.81,48.949999999999996
2023,spring,4.461093487116104e-10,0.23,31.73,21.04,4.0,41.45,0.94,0.61,53.379999999999995,46.39
2023,summer,4.461093487116104e-10,0.26,79.9,0.85,0.23,15.01,1.22,2.52,83.27,16.46
2023,autumn,4.461093487116104e-10,0.18,69.78,0.78,0.2,24.97,2.11,1.99,72.55,27.279999999999998
2023,winter,4.461093487116104e-10,0.2,33.4,33.03,3.71,23.89,0.96,4.81,71.24000000000001,28.560000000000002
2024,spring,4.461093487116104e-10,0.23,48.8,9.24,2.46,37.58,1.03,0.66,58.699999999999996,41.07
2024,summer,4.461093487116104e-10,0.29,51.87,9.61,4.76,30.5,1.1,1.87,63.349999999999994,36.36
2024,autumn,4.461093487116104e-10,0.22,61.19,4.54,2.52,29.77,0.8,0.96,66.69,33.089999999999996
2024,winter,4.461093487116104e-10,0.24,24.9,28.67,8.41,35.54,0.69,1.56,55.13,44.64
2016,average,4.461093487116104e-10,0.23,50.82,5.74,1.37,40.35,1.13,0.37,56.93,42.85
2017,average,4.461093487116104e-10,0.21500000000000002,29.564999999999998,17.240000000000002,7.95,43.915,0.845,0.27,47.075,52.71
2018,average,4.461093487116104e-10,0.27,40.25,11.01,3.35,42.22,1.11,1.79,53.05,46.68
2019,average,4.461093487116104e-10,0.2575,37.697500000000005,18.122500000000002,3.3875,38.4725,1.075,0.99,56.81000000000001,42.935
2020,average,4.461093487116104e-10,0.295,56.24250000000001,7.7275,1.6575000000000002,31.29,1.0225,1.7725,65.7425,33.97
2021,average,4.461093487116104e-10,0.265,39.52,20.14,5.4350000000000005,32.3275,0.8150000000000001,1.5025000000000002,61.1625,38.5775
2022,average,4.461093487116104e-10,0.31,35.0375,19.16,5.845000000000001,38.37,0.8375,0.4475,54.645,45.052499999999995
2023,average,4.461093487116104e-10,0.21749999999999997,53.70250000000001,13.925,2.035,26.330000000000002,1.3074999999999999,2.4825,70.11000000000001,29.672500000000003
2024,average,4.461093487116104e-10,0.245,46.69,13.015,4.5375,33.3475,0.9049999999999999,1.2625000000000002,60.9675,38.79
