year,season,Total_Area,Background_Area,Agricultural_Land_Area,Grasses_and_Bushes_Area,Urban_Area_Area,Soil_Area,Water_Area,Trees_Area,green_space,non_green_space
2016,spring,6.805584444049359e-10,0.12,14.38,35.02,23.17,24.02,1.83,1.47,50.870000000000005,49.019999999999996
2016,autumn,6.805584444049359e-10,0.3,37.41,9.32,6.33,44.39,1.71,0.53,47.26,52.43
2016,winter,6.805584444049359e-10,0.04,5.85,46.1,22.35,20.74,0.21,4.72,56.67,43.300000000000004
2017,summer,6.805584444049359e-10,0.04,19.64,31.24,24.99,22.82,0.32,0.95,51.83,48.13
2017,autumn,6.805584444049359e-10,0.25,27.2,12.35,12.1,47.45,0.57,0.09,39.64,60.120000000000005
2017,winter,6.805584444049359e-10,0.14,2.36,29.19,23.11,44.69,0.45,0.06,31.61,68.25
2018,spring,6.805584444049359e-10,0.04,5.99,34.71,34.07,23.53,0.84,0.82,41.52,58.440000000000005
2018,autumn,6.805584444049359e-10,0.28,29.17,12.88,12.39,43.67,0.73,0.88,42.93000000000001,56.79
2019,spring,6.805584444049359e-10,0.22,22.84,20.62,17.67,37.71,0.83,0.12,43.58,56.21
2019,summer,6.805584444049359e-10,0.14,20.45,29.67,20.43,27.99,0.92,0.4,50.52,49.34
2019,autumn,6.805584444049359e-10,0.24,41.17,9.92,9.09,38.38,0.67,0.53,51.620000000000005,48.14
2019,winter,6.805584444049359e-10,0.19,11.49,35.67,21.55,29.65,0.56,0.89,48.050000000000004,51.760000000000005
2020,spring,6.805584444049359e-10,0.19,32.97,13.67,13.21,39.22,0.62,0.12,46.76,53.05
2020,summer,6.805584444049359e-10,0.26,40.18,8.47,9.87,40.31,0.65,0.27,48.92,50.83
2020,autumn,6.805584444049359e-10,0.3,48.21,2.91,7.27,40.45,0.7,0.14,51.260000000000005,48.42
2020,winter,6.805584444049359e-10,0.32,30.81,12.91,12.06,43.13,0.43,0.33,44.05,55.620000000000005
2021,spring,6.805584444049359e-10,0.17,14.38,32.68,23.02,28.49,0.68,0.58,47.64,52.19
2021,summer,6.805584444049359e-10,0.27,24.61,21.55,19.34,33.07,0.72,0.44,46.599999999999994,53.129999999999995
2021,autumn,6.805584444049359e-10,0.31,43.43,5.5,10.9,38.87,0.61,0.37,49.3,50.379999999999995
2021,winter,6.805584444049359e-10,0.22,11.78,33.51,21.64,31.14,0.57,1.12,46.41,53.35
2022,spring,6.805584444049359e-10,0.16,16.08,23.9,19.96,38.96,0.8,0.14,40.12,59.72
2022,summer,6.805584444049359e-10,0.2,30.33,13.82,11.91,40.41,2.72,0.6,44.75,55.03999999999999
2022,autumn,6.805584444049359e-10,0.25,42.61,7.7,11.37,36.46,0.95,0.66,50.97,48.78
2022,winter,6.805584444049359e-10,0.19,2.46,39.32,33.07,24.22,0.49,0.25,42.03,57.78
2023,spring,6.805584444049359e-10,0.17,18.66,27.58,20.21,32.21,0.76,0.42,46.66,53.18
2023,summer,6.805584444049359e-10,0.27,59.68,4.45,8.75,25.15,1.08,0.61,64.74,34.98
2023,autumn,6.805584444049359e-10,0.21,50.61,3.44,9.32,35.28,0.91,0.23,54.279999999999994,45.51
2023,winter,6.805584444049359e-10,0.21,14.67,36.33,19.33,25.05,0.51,3.92,54.92,44.88999999999999
2024,spring,6.805584444049359e-10,0.19,33.02,16.38,13.09,34.72,1.53,1.07,50.470000000000006,49.34
2024,summer,6.805584444049359e-10,0.28,40.4,13.63,13.55,28.52,1.62,2.01,56.04,43.69
2024,autumn,6.805584444049359e-10,0.18,45.05,7.3,10.68,33.18,1.41,2.2,54.55,45.269999999999996
2024,winter,6.805584444049359e-10,0.21,12.44,32.62,19.15,33.18,0.52,1.9,46.959999999999994,52.85
2016,average,6.805584444049359e-10,0.15333333333333332,19.213333333333335,30.146666666666665,17.283333333333335,29.716666666666665,1.25,2.2399999999999998,51.6,48.25
2017,average,6.805584444049359e-10,0.14333333333333334,16.400000000000002,24.26,20.066666666666666,38.32,0.4466666666666666,0.3666666666666667,41.02666666666667,58.833333333333336
2018,average,6.805584444049359e-10,0.16,17.580000000000002,23.795,23.23,33.6,0.7849999999999999,0.85,42.225,57.614999999999995
2019,average,6.805584444049359e-10,0.1975,23.9875,23.970000000000002,17.185,33.432500000000005,0.745,0.485,48.4425,51.362500000000004
2020,average,6.805584444049359e-10,0.2675,38.042500000000004,9.49,10.6025,40.7775,0.6,0.21500000000000002,47.74750000000001,51.980000000000004
2021,average,6.805584444049359e-10,0.2425,23.55,23.310000000000002,18.725,32.8925,0.6449999999999999,0.6275000000000001,47.4875,52.2625
2022,average,6.805584444049359e-10,0.2,22.869999999999997,21.185000000000002,19.0775,35.0125,1.2400000000000002,0.4125,44.4675,55.330000000000005
2023,average,6.805584444049359e-10,0.215,35.904999999999994,17.95,14.4025,29.4225,0.815,1.295,55.14999999999999,44.64
2024,average,6.805584444049359e-10,0.215,32.7275,17.482499999999998,14.1175,32.4,1.27,1.795,52.004999999999995,47.7875
